Soil Type,ID,Horizont,Top,Bottom,pH (H2O),pH (KCl),Y1,T-S,S,T,V,Humus,N,C/N,P2O5,K2O,As,Co
Districni ranker,172,AumC,33,55,5.53,4,12.6,8.19,30.84,39.03,79.02,1.05,,,2.71,30.8,2.8,17.3
Districni ranker,202,Aum,0,15,5.1,4.3,32.67,21.24,17.64,38.88,45.38,9.87,0.48,11.92,6.69,107.69,77.5,23
Districni ranker,203,Aum,0,15,4.6,3.7,34.9,22.68,14.84,37.52,39.55,5.02,0.32,9.09,2.83,17.84,29.2,14.75
Districni ranker,210,OL,0,4,,,,,,,,13.06,0.44,17.21,,,34,23.35
Districni ranker,210,Aum,4,10,4.8,4.2,34.83,22.64,26.44,49.08,53.87,4.76,0.21,13.14,1.97,30.44,8.1,24.6
Districni ranker,210,AumC,10,36,4.4,3.4,34.1,22.17,16.84,39.01,43.17,2.07,,,0,17.44,4,26.1
Districni ranker,211,Aoh,0,33,4.94,3.85,49.1,31.92,27.24,59.16,46.05,6.55,0.22,17.26,0,31.39,8.3,23.15
Districni ranker,211,AohC,33,65,5.13,3.7,19.9,12.94,26.44,39.38,67.15,1.7,,,0,21.96,4.5,23.35
Districni ranker,211,C,65,80,,,,,,,,,,,,,,
Districni ranker,212,Aum,0,14,5,4.25,21.65,14.07,15.24,29.31,51.99,4.99,0.25,11.57,0.12,13.59,55.7,21.9
Districni ranker,212,AumC,14,30,4.65,3.8,25,16.25,14.44,30.69,47.05,2.58,,,0,10.68,14.4,29.3
Districni ranker,216,Aum,0,20,4.65,3.95,27,17.55,16.44,33.99,48.37,7.1,0.34,12.11,1.31,17.44,12.1,13.2
Districni ranker,216,AumC,20,55,5.4,4.4,37.75,24.54,17.24,41.78,41.27,2.2,,,2.19,7.26,3.4,13.5
Districni ranker,216,C,55,70,5.38,4.4,12,7.8,16.84,24.64,68.34,1.41,,,2.67,7.59,4.4,14.75
Districni ranker,217,OL/Aoh,0,19,4.58,3.8,29.5,19.18,12.44,31.62,39.35,3.97,0.19,12.11,0.48,16.26,33,26.4
Districni ranker,217,Aoh,19,35,4.75,4,22.4,14.56,12.44,27,46.07,2.64,,,0,7.93,27.8,26.45
Districni ranker,217,AohC,35,80,5.15,4.3,14.25,9.26,14.44,23.7,60.92,1.84,,,0,5.96,21.5,22.85
Districni ranker,224,OL,0,8,,,,,,,,16.95,0.53,18.54,,,88,14.3
Districni ranker,224,Aum,8,29,4.2,3.6,56,36.4,14.04,50.44,27.84,6.1,0.27,13.1,0.69,34.28,21.9,17.2
Districni ranker,225,Aum,4,22,4.5,3.7,41.3,26.85,8.84,35.69,24.77,4.52,0.17,15.42,0,11.76,6.3,10.15
Districni ranker,225,AumC,22,56,4.82,4,24.65,16.02,11.24,27.26,41.23,1.89,,,0,8.6,76.4,10.1
Districni ranker,230,Aoh,0,10,4.5,3.7,23.6,15.34,7.64,22.98,33.25,3.01,0.13,13.42,0,6.93,21,12.3
Districni ranker,233,Aoh,0,20,4.51,3.5,45.05,29.28,18.04,47.32,38.12,3.24,0.16,11.74,0.32,38.26,19.3,22.35
Districni ranker,233,AohC,20,30,5.38,3.9,16.5,10.73,27.24,37.97,71.75,1.62,,,0,9.98,8.9,23.85
Districni ranker,236,Aum,4,32,4.61,3.9,18.15,11.8,8.04,19.84,40.53,4.96,0.25,11.5,0.59,12.85,33.2,4.7
Districni ranker,248,O,0,10,,,,,,,,7.4,0.37,11.6,,,37,5
Districni ranker,248,Aum,10,24,,,,,,,,,,,,,28.3,5.25
Districni ranker,248,AumC,24,35,,,,,,,,,,,,,13,6.4
Districni ranker,249,OL,0,6,,,,,,,,6.04,0.22,15.92,,,45,7.4
Districni ranker,249,Aum,6,31,4.11,3.7,43.75,28.44,5.64,34.08,16.55,4.14,,,0.9,4.78,23.7,7.9
Districni ranker,251,OL,0,3,,,,,,,,5.52,0.26,12.31,,,21,23.25
Districni ranker,251,Aoh,3,25,4.78,3.72,29.1,18.92,16.44,35.36,46.5,5.06,0.21,13.97,,,20.4,23.2
Districni ranker,252,OL,0,8,,,,,,,,7.6,0.24,18.36,7.04,32.67,47,12.15
Districni ranker,252,Aum,8,30,5.08,4.05,26.9,17.49,20.44,37.93,53.9,6.66,0.3,12.87,4.05,39.45,16.7,23
Districni ranker,254,Aum,3,10,4.12,3.3,76.04,49.43,6.04,55.47,10.89,7.69,0.33,13.51,1.88,21.45,70.6,13
Districni ranker,254,AumC,10,30,4.6,3.6,34.2,22.3,10.24,39.28,26.07,,,,0.21,7.88,50.47,14
Districni ranker,255,Aum,0,20,4.75,4.38,29.75,19.34,24.44,43.78,55.83,11.72,0.33,6.79,16.94,8.73,66.6,20
Districni ranker,255,AumC,20,35,4.35,3.85,39,25.35,17.24,42.59,40.48,12.16,0.25,7.05,21.36,12.12,31.6,18.1
Districni ranker,260,OL,0,5,,,,,,,,7.64,0.21,21.1,,,75,9.75
Districni ranker,260,Aum,5,27,4.22,3.5,37.5,24.38,6.44,30.82,20.9,5.21,0.16,18.88,1.39,10.59,50.4,21
Kalkomelanosol,65,Al,0,3,,,,,,,,11.41,0.43,15.39,,,125,21.55
Kalkomelanosol,65,Amo,3,18,5.05,3.8,37.35,24.28,22.04,46.32,47.58,7.21,0.5,,0.47,14.11,53.9,20.05
Kalkomelanosol,66,Amo,3.5,14,5.8,5,25.06,16.29,46.44,62.73,74.03,7.22,0.3,13.95,3.31,12.17,203,16.85
Kalkomelanosol,67,Amo,0,23,6.5,5.4,10.5,6.83,34.44,41.27,83.46,5.77,0.13,25.74,0.37,14.89,47.2,19.2
Kalkomelanosol,68,Amo,0,15,5.45,4.6,30.51,19.83,30.84,50.67,60.86,7.08,0.28,14.66,1.36,30.99,74.6,18.55
Kalkomelanosol,69,Amo,0,15,6.4,5.5,12.81,8.33,44.44,52.77,84.22,11.37,0.5,13.18,0.64,20.07,123,18.3
Kalkomelanosol,71,Amo,4,20,6.3,5.5,8.7,5.65,45.64,51.29,88.98,4.62,0.16,16.74,0,23.5,28.3,15
Kalkomelanosol,72,Amo,0,10,7.25,6.6,3.68,2.39,75.24,77.63,96.92,9.92,0.62,9.28,4.16,26.11,97,14.95
Kalkomelanosol,74,Amo,5,25,7,6.2,5.16,3.35,49.24,52.59,93.63,5.9,0.15,22.81,0.16,31.44,43.1,15.75
Vertisol,4,Avt,0,30,6.05,4.45,19.64,12.76,41.68,54.44,76.56,6.21,0.26,13.85,0.09,15.73,31.8,28.2
Vertisol,4,AvtC,30,65,6.35,4.3,13.15,8.55,41.28,49.83,82.84,3.06,,,0.03,12.71,4.9,24
